time in s,CH2 in V
-170.4999E-6,-965.8E-3
-169.9999E-6,-1.026
-169.9999E-6,-965.8E-3
-169.4999E-6,-1.026
-169.4999E-6,-965.8E-3
-168.9999E-6,-1.026
-168.9999E-6,-965.8E-3
-168.4999E-6,-1.026
-168.4999E-6,-965.8E-3
-167.9999E-6,-1.026
-167.9999E-6,-965.8E-3
-167.4999E-6,-1.026
-167.4999E-6,-965.8E-3
-166.9999E-6,1.134
-166.9999E-6,-1.026
-166.4998E-6,1.154
-166.4998E-6,574.2E-3
-165.9998E-6,734.2E-3
-165.9998E-6,674.2E-3
-165.4998E-6,654.2E-3
-165.4998E-6,714.2E-3
-164.9998E-6,634.2E-3
-164.9998E-6,694.2E-3
-164.4998E-6,614.2E-3
-164.4998E-6,674.2E-3
-163.9998E-6,614.2E-3
-163.9998E-6,654.2E-3
-163.4998E-6,594.2E-3
-163.4998E-6,634.2E-3
-162.9998E-6,574.2E-3
-162.9998E-6,614.2E-3
-162.4998E-6,554.2E-3
-162.4998E-6,614.2E-3
-161.9998E-6,534.2E-3
-161.9998E-6,594.2E-3
-161.4998E-6,514.2E-3
-161.4998E-6,574.2E-3
-160.9998E-6,514.2E-3
-160.9998E-6,574.2E-3
-160.4998E-6,494.2E-3
-160.4998E-6,554.2E-3
-159.9998E-6,494.2E-3
-159.9998E-6,534.2E-3
-159.4998E-6,474.2E-3
-159.4998E-6,534.2E-3
-158.9998E-6,454.2E-3
-158.9998E-6,514.2E-3
-158.4998E-6,454.2E-3
-158.4998E-6,514.2E-3
-157.9998E-6,434.2E-3
-157.9998E-6,494.2E-3
-157.4998E-6,434.2E-3
-157.4998E-6,494.2E-3
-156.9998E-6,414.2E-3
-156.9998E-6,474.2E-3
-156.4998E-6,414.2E-3
-156.4998E-6,454.2E-3
-155.9998E-6,394.2E-3
-155.9998E-6,454.2E-3
-155.4998E-6,394.2E-3
-155.4998E-6,454.2E-3
-155.0000E-6,374.2E-3
-155.0000E-6,454.2E-3
-154.5000E-6,374.2E-3
-154.5000E-6,434.2E-3
-154.0000E-6,374.2E-3
-154.0000E-6,414.2E-3
-153.5000E-6,354.2E-3
-153.5000E-6,414.2E-3
-153.0000E-6,354.2E-3
-153.0000E-6,414.2E-3
-152.5000E-6,354.2E-3
-152.5000E-6,414.2E-3
-152.0000E-6,334.2E-3
-152.0000E-6,394.2E-3
-151.5000E-6,334.2E-3
-151.5000E-6,394.2E-3
-151.0000E-6,334.2E-3
-151.0000E-6,394.2E-3
-150.5000E-6,334.2E-3
-150.5000E-6,394.2E-3
-150.0000E-6,334.2E-3
-150.0000E-6,394.2E-3
-149.5000E-6,334.2E-3
-149.5000E-6,374.2E-3
-148.9999E-6,314.2E-3
-148.9999E-6,374.2E-3
-148.4999E-6,314.2E-3
-148.4999E-6,374.2E-3
-147.9999E-6,334.2E-3
-147.9999E-6,374.2E-3
-147.4999E-6,334.2E-3
-147.4999E-6,374.2E-3
-146.9999E-6,334.2E-3
-146.9999E-6,374.2E-3
-146.4999E-6,334.2E-3
-146.4999E-6,374.2E-3
-145.9999E-6,334.2E-3
-145.9999E-6,394.2E-3
-145.4999E-6,334.2E-3
-145.4999E-6,394.2E-3
-144.9999E-6,334.2E-3
-144.9999E-6,394.2E-3
-144.4999E-6,334.2E-3
-144.4999E-6,394.2E-3
-143.9999E-6,354.2E-3
-143.9999E-6,394.2E-3
-143.4999E-6,354.2E-3
-143.4999E-6,394.2E-3
-142.9999E-6,354.2E-3
-142.9999E-6,414.2E-3
-142.4999E-6,354.2E-3
-142.4999E-6,414.2E-3
-141.9999E-6,374.2E-3
-141.9999E-6,414.2E-3
-141.4999E-6,374.2E-3
-141.4999E-6,434.2E-3
-140.9999E-6,374.2E-3
-140.9999E-6,434.2E-3
-140.4999E-6,374.2E-3
-140.4999E-6,434.2E-3
-139.9999E-6,394.2E-3
-139.9999E-6,454.2E-3
-139.4999E-6,394.2E-3
-139.4999E-6,454.2E-3
-138.9999E-6,394.2E-3
-138.9999E-6,474.2E-3
-138.4999E-6,414.2E-3
-138.4999E-6,474.2E-3
-137.9999E-6,434.2E-3
-137.9999E-6,494.2E-3
-137.4999E-6,434.2E-3
-137.4999E-6,474.2E-3
-136.9999E-6,454.2E-3
-136.9999E-6,494.2E-3
-136.4999E-6,454.2E-3
-136.4999E-6,514.2E-3
-135.9998E-6,474.2E-3
-135.9998E-6,514.2E-3
-135.4998E-6,474.2E-3
-135.4998E-6,514.2E-3
-134.9998E-6,494.2E-3
-134.9998E-6,534.2E-3
-134.4998E-6,494.2E-3
-134.4998E-6,534.2E-3
-133.9998E-6,494.2E-3
-133.9998E-6,554.2E-3
-133.4998E-6,514.2E-3
-133.4998E-6,574.2E-3
-132.9998E-6,514.2E-3
-132.9998E-6,574.2E-3
-132.4998E-6,534.2E-3
-132.4998E-6,594.2E-3
-131.9998E-6,534.2E-3
-131.9998E-6,594.2E-3
-131.4998E-6,574.2E-3
-131.4998E-6,614.2E-3
-130.9998E-6,574.2E-3
-130.9998E-6,634.2E-3
-130.4998E-6,594.2E-3
-130.4998E-6,634.2E-3
-129.9998E-6,594.2E-3
-129.9998E-6,654.2E-3
-129.4998E-6,614.2E-3
-129.4998E-6,674.2E-3
-128.9998E-6,614.2E-3
-128.9998E-6,674.2E-3
-128.4998E-6,634.2E-3
-128.4998E-6,694.2E-3
-127.9998E-6,634.2E-3
-127.9998E-6,694.2E-3
-127.4998E-6,654.2E-3
-127.4998E-6,714.2E-3
-126.9998E-6,674.2E-3
-126.9998E-6,714.2E-3
-126.4998E-6,674.2E-3
-126.4998E-6,734.2E-3
-125.9998E-6,694.2E-3
-125.9998E-6,754.2E-3
-125.4998E-6,714.2E-3
-125.4998E-6,774.2E-3
-124.9998E-6,714.2E-3
-124.9998E-6,774.2E-3
-124.4998E-6,734.2E-3
-124.4998E-6,794.2E-3
-123.9998E-6,754.2E-3
-123.9998E-6,794.2E-3
