time in s,CH2 in V
-343.9998E-6,-1.483
-343.9998E-6,-1.083
-342.9998E-6,-1.483
-342.9998E-6,-1.083
-341.9998E-6,-1.483
-341.9998E-6,-1.083
-340.9998E-6,-1.483
-340.9998E-6,-883.0E-3
-339.9998E-6,-1.483
-339.9998E-6,-883.0E-3
-338.9998E-6,-1.283
-338.9998E-6,-883.0E-3
-337.9998E-6,-1.283
-337.9998E-6,-883.0E-3
-336.9998E-6,-1.283
-336.9998E-6,-683.0E-3
-335.9998E-6,-1.283
-335.9998E-6,-683.0E-3
-334.9998E-6,-1.283
-334.9998E-6,-683.0E-3
-333.9998E-6,-1.083
-333.9998E-6,-483.0E-3
-332.9998E-6,-1.083
-332.9998E-6,-483.0E-3
-331.9997E-6,-1.083
-331.9997E-6,-483.0E-3
-330.9997E-6,-1.083
-330.9997E-6,-483.0E-3
-329.9997E-6,-883.0E-3
-329.9997E-6,-283.0E-3
-328.9997E-6,-883.0E-3
-328.9997E-6,-283.0E-3
-327.9997E-6,-883.0E-3
-327.9997E-6,-283.0E-3
-326.9997E-6,-883.0E-3
-326.9997E-6,-283.0E-3
-325.9997E-6,-683.0E-3
-325.9997E-6,-83.02E-3
-324.9997E-6,-683.0E-3
-324.9997E-6,-83.02E-3
-323.9997E-6,-683.0E-3
-323.9997E-6,-83.02E-3
-322.9997E-6,-683.0E-3
-322.9997E-6,-83.02E-3
-321.9997E-6,-483.0E-3
-321.9997E-6,117.0E-3
-320.9997E-6,-483.0E-3
-320.9997E-6,117.0E-3
-319.9997E-6,-483.0E-3
-319.9997E-6,117.0E-3
-318.9996E-6,-483.0E-3
-318.9996E-6,117.0E-3
-317.9996E-6,-283.0E-3
-317.9996E-6,317.0E-3
-316.9996E-6,-283.0E-3
-316.9996E-6,317.0E-3
-315.9996E-6,-283.0E-3
-315.9996E-6,317.0E-3
-314.9996E-6,-283.0E-3
-314.9996E-6,317.0E-3
-313.9996E-6,-83.02E-3
-313.9996E-6,317.0E-3
-312.9996E-6,-83.02E-3
-312.9996E-6,517.0E-3
-311.9996E-6,-83.02E-3
-311.9996E-6,517.0E-3
-310.9996E-6,-83.02E-3
-310.9996E-6,517.0E-3
-309.9996E-6,-83.02E-3
-309.9996E-6,517.0E-3
-308.9996E-6,117.0E-3
-308.9996E-6,717.0E-3
-307.9996E-6,117.0E-3
-307.9996E-6,517.0E-3
-306.9996E-6,117.0E-3
-306.9996E-6,717.0E-3
-305.9995E-6,317.0E-3
-305.9995E-6,917.0E-3
-304.9995E-6,317.0E-3
-304.9995E-6,917.0E-3
-303.9995E-6,317.0E-3
-303.9995E-6,917.0E-3
-302.9995E-6,317.0E-3
-302.9995E-6,917.0E-3
-301.9995E-6,317.0E-3
-301.9995E-6,917.0E-3
-300.9995E-6,317.0E-3
-300.9995E-6,917.0E-3
-299.9995E-6,317.0E-3
-299.9995E-6,917.0E-3
-298.9995E-6,317.0E-3
-298.9995E-6,917.0E-3
-297.9995E-6,317.0E-3
-297.9995E-6,917.0E-3
-296.9995E-6,317.0E-3
-296.9995E-6,917.0E-3
-296.0000E-6,317.0E-3
-296.0000E-6,917.0E-3
-295.0000E-6,117.0E-3
-295.0000E-6,917.0E-3
-294.0000E-6,317.0E-3
-294.0000E-6,717.0E-3
-293.0000E-6,317.0E-3
-293.0000E-6,917.0E-3
-292.0000E-6,317.0E-3
-292.0000E-6,717.0E-3
-291.0000E-6,317.0E-3
-291.0000E-6,717.0E-3
-290.0000E-6,317.0E-3
-290.0000E-6,917.0E-3
-288.9999E-6,317.0E-3
-288.9999E-6,917.0E-3
-287.9999E-6,317.0E-3
-287.9999E-6,917.0E-3
-286.9999E-6,317.0E-3
-286.9999E-6,917.0E-3
-285.9999E-6,317.0E-3
-285.9999E-6,717.0E-3
-284.9999E-6,317.0E-3
-284.9999E-6,717.0E-3
-283.9999E-6,117.0E-3
-283.9999E-6,717.0E-3
-282.9999E-6,317.0E-3
-282.9999E-6,917.0E-3
-281.9999E-6,317.0E-3
-281.9999E-6,917.0E-3
-280.9999E-6,317.0E-3
-280.9999E-6,717.0E-3
-279.9999E-6,317.0E-3
-279.9999E-6,917.0E-3
-278.9999E-6,317.0E-3
-278.9999E-6,917.0E-3
-277.9999E-6,317.0E-3
-277.9999E-6,717.0E-3
-276.9999E-6,317.0E-3
-276.9999E-6,917.0E-3
-275.9998E-6,317.0E-3
-275.9998E-6,717.0E-3
-274.9998E-6,317.0E-3
-274.9998E-6,717.0E-3
-273.9998E-6,317.0E-3
-273.9998E-6,717.0E-3
-272.9998E-6,317.0E-3
-272.9998E-6,717.0E-3
-271.9998E-6,317.0E-3
-271.9998E-6,717.0E-3
-270.9998E-6,117.0E-3
-270.9998E-6,717.0E-3
-269.9998E-6,317.0E-3
-269.9998E-6,717.0E-3
-268.9998E-6,317.0E-3
-268.9998E-6,917.0E-3
